,Genes,null: no cis,null: no trans,null: no Tissue cis,null: no Tissue trans,null: no Temperature cis,null: no Temperature trans
ENSMUSG00000000056,ENSMUSG00000000056,0.529479076758954,0.7667308616462625,0.3951680709846616,0.39833805199102235,0.9043511129779765,0.26777513494942184
ENSMUSG00000000058,ENSMUSG00000000058,0.9162379904903372,0.9305066419041796,0.43415922025857157,0.8848480406486544,0.8706782376154131,0.7731737946146657
ENSMUSG00000000078,ENSMUSG00000000078,0.5453413367855761,0.16599528515580178,0.24703571200189056,0.010733927271629098,0.23349412459177715,0.16811558629844478
ENSMUSG00000000088,ENSMUSG00000000088,0.9758668398719721,0.9722840941872865,0.9471758025128539,0.8167848321191133,0.6908229898297601,0.8339005175441686
ENSMUSG00000000120,ENSMUSG00000000120,0.17764294214548443,0.07357710490717605,0.02147362524761951,0.004782147696112196,0.8842449557736594,0.3585121076487032
ENSMUSG00000000142,ENSMUSG00000000142,0.6338819535763535,0.01796803695618405,0.46682352970837376,0.23976120586177452,0.0847874089240191,0.047649640748854596
ENSMUSG00000000148,ENSMUSG00000000148,0.030230233213713903,0.016871653611115957,0.07242192265665881,0.0011807611261680406,0.00017635330635804356,0.006380590539799812
ENSMUSG00000000149,ENSMUSG00000000149,0.24229626466652038,0.32035389386324165,0.07524917540998753,0.9593911203311242,0.6058410021766317,0.3752259629214981
ENSMUSG00000000184,ENSMUSG00000000184,0.09511094508161123,0.05802943689932889,0.01505007696785421,0.014609373534574801,0.07536951184977662,0.003424457757089776
ENSMUSG00000000194,ENSMUSG00000000194,0.5873786232318402,0.28620617231916934,0.8639336789785272,0.7639937801721601,0.651023879399325,0.311285489265275
ENSMUSG00000000253,ENSMUSG00000000253,0.002963620633797634,0.048954646381794385,0.5779961262824228,0.30988945436654636,0.17994223042228222,0.7197601654673642
ENSMUSG00000000275,ENSMUSG00000000275,0.2042843669384735,0.7224508238944697,0.4226499525696896,0.8266741147512565,0.4938051751172715,0.8505750172891737
ENSMUSG00000000276,ENSMUSG00000000276,0.4401627517566369,0.5495505400353762,0.13735819359077758,0.13525865843701584,0.07349370515139497,0.26610798231718535
ENSMUSG00000000278,ENSMUSG00000000278,0.9781181815196838,0.7806752709564497,0.7134861108347406,0.2608959480965381,0.8269185649924219,0.8353441639021669
ENSMUSG00000000290,ENSMUSG00000000290,0.10224704094816661,0.9096628186993704,0.6654752404220232,0.647570833228479,0.09282884233509023,0.41196195543443737
ENSMUSG00000000339,ENSMUSG00000000339,0.23267689421843427,0.051776948549445444,0.5702243507798096,0.8806759156614994,0.16676466010754473,0.3770259508445805
ENSMUSG00000000340,ENSMUSG00000000340,0.4202928888415052,0.507839852650023,0.0780556443691486,0.7954434372818175,0.6143770158590954,0.08038486481098951
ENSMUSG00000000378,ENSMUSG00000000378,0.0501364259412086,0.4559281975481012,0.018284018487149365,0.23198537698157184,0.10444231337232583,0.3728015790864703
ENSMUSG00000000384,ENSMUSG00000000384,0.5049436686042912,0.6284181887847304,0.6598166125086738,0.8344157686040858,0.49772023708248275,0.9116389670813686
ENSMUSG00000000420,ENSMUSG00000000420,0.0008063649350313318,0.5536939884439901,0.7690024907611468,0.6830348195291274,0.974314855470564,0.13473512566482126
ENSMUSG00000000439,ENSMUSG00000000439,0.16933650023296182,0.1775710045050883,0.5097468177905978,0.07322421136759126,0.10989804269895799,0.01716011971849823
ENSMUSG00000000440,ENSMUSG00000000440,0.6968663927655273,0.775117664110172,0.30453189797332275,0.642079601599822,0.6250438264055945,0.42442923985902536
ENSMUSG00000000441,ENSMUSG00000000441,0.6210970313933063,0.21341680748969663,0.8710487293754994,0.8782228069473003,0.15497376390648623,0.12624239849945298
ENSMUSG00000000530,ENSMUSG00000000530,0.6516602780253485,0.3482381880593126,0.34067093991824,0.06680603780422628,0.20890273307634635,0.20432301344511747
ENSMUSG00000000532,ENSMUSG00000000532,0.8954005582096336,0.8649034282368134,0.5510174181051943,0.6384418488416838,0.4272045080110657,0.40249799755456456
ENSMUSG00000000568,ENSMUSG00000000568,0.4004355415374199,0.23736496834219212,0.7294958542947091,0.6095043069789698,0.08666178036423669,0.21930982456977333
ENSMUSG00000000581,ENSMUSG00000000581,0.9917696966617352,0.6202424952540335,0.7930494852038311,0.6850957284871732,0.9466821902333343,0.740266472677989
ENSMUSG00000000594,ENSMUSG00000000594,0.934832699789535,0.9061398095504342,0.8179899020253285,0.997546442341395,0.6810284728489473,0.7339973624099762
ENSMUSG00000000628,ENSMUSG00000000628,0.652498631961758,0.7010589341170638,0.15114677640961602,0.18769687558241738,0.33748648941540543,0.6695212319184778
ENSMUSG00000000631,ENSMUSG00000000631,0.21234053618466184,0.7423101244109169,0.9357362008892018,0.2422289544205176,0.7985779080876242,0.5504641569995584
ENSMUSG00000000708,ENSMUSG00000000708,0.22708478475555283,0.7770140048333191,0.22761702898827388,0.5999204593722043,0.893917049463042,0.6912998657187017
ENSMUSG00000000738,ENSMUSG00000000738,0.836613212926179,0.8047483061320213,0.4257327322990847,0.9330092433074498,0.6789677012760824,0.6618610580090682
ENSMUSG00000000740,ENSMUSG00000000740,0.4406788218756641,0.14699702806099546,0.3935910798952308,0.0834510314233087,0.8043596826662144,0.3614623135572841
ENSMUSG00000000743,ENSMUSG00000000743,0.3340157702551793,0.5195905696662534,0.04597584627083483,0.1630249718402039,0.6864351576217134,0.3473066330135455
ENSMUSG00000000751,ENSMUSG00000000751,0.3791232386222563,0.49494527272353384,0.112404188942315,0.3281610397800369,0.17808124632825045,0.08331577382545229
ENSMUSG00000000759,ENSMUSG00000000759,0.12064163289374107,0.13253244899199276,0.04746898767719223,0.49651701678125865,0.011346313822844267,0.051130595278499724
ENSMUSG00000000776,ENSMUSG00000000776,0.12149255464731183,0.13768686207645697,0.11940525778406479,0.06193880961350168,0.02741855762071331,0.13044452650189953
ENSMUSG00000000811,ENSMUSG00000000811,0.4590917959491206,0.3877448844524664,0.15547273162593006,0.11690449374301191,0.2627072160790705,0.34259551649718445
ENSMUSG00000000826,ENSMUSG00000000826,0.8309513905839899,0.6376666711190065,0.383391473556437,0.2237055546474765,0.7437994342819816,0.4091555646707783
ENSMUSG00000000876,ENSMUSG00000000876,0.9572893018905506,0.9971835045704621,0.8635748361224007,0.9337712618429465,0.5128055585461652,0.9053333160952846
ENSMUSG00000000902,ENSMUSG00000000902,0.6951264190789637,0.851164896728284,0.2392879394315851,0.3322881872918767,0.2934024912910443,0.9510404566920139
ENSMUSG00000000957,ENSMUSG00000000957,0.8243213000756988,0.880813041097836,0.7775856524438375,0.8630645179862226,0.6325258849048828,0.8986120118495721
ENSMUSG00000000976,ENSMUSG00000000976,0.5984800416149851,0.33054339383108167,0.39866802667732504,0.18013509435178357,0.9532978855246144,0.9949176305643183
ENSMUSG00000001052,ENSMUSG00000001052,0.6685408207996869,0.033543063419022634,0.15175950393581203,0.038895528986333465,0.9544754169152703,0.23801626208175183
ENSMUSG00000001054,ENSMUSG00000001054,0.45030603898206195,0.768594846253485,0.6728067675283006,0.9463467613135255,0.31611625833993917,0.32985759358161326
ENSMUSG00000001062,ENSMUSG00000001062,0.013269117343243137,0.09721641012011278,0.009711058824245384,0.01306368690464582,0.9079796738792145,0.4969375178560572
ENSMUSG00000001065,ENSMUSG00000001065,0.36236877452979216,0.3128512054319676,0.3390027527713661,0.628892377193256,0.017359903964515574,0.09897540641874883
ENSMUSG00000001089,ENSMUSG00000001089,0.843607621599111,0.2798528801197581,0.4911878885182255,0.5545810368623528,0.2807299355772497,0.01821604837040546
